house_price	surface	rooms_in_house	floor_in_house	total_house_floors	agency	address	latitude	longitude	location	is_last_floor	dist
10000	47	1	8	10	False	Липецк,  улица Белянского, 12 	52.606946449999995	39.50181181484047	Липецк,  улица Белянского, 12 , р-н Советский	False	6.521421824154973
16000	54	2	10	10	False	Липецк,  ул. Валентины Терешковой, 29А 	52.61310095	39.57484113518641	Липецк,  ул. Валентины Терешковой, 29А , р-н Советский	True	1.6416515817856434
20000	50	1	9	16	False	Липецк,  ул. Космонавтов, 3А 	52.61672455	39.580665518235364	Липецк,  ул. Космонавтов, 3А , р-н Советский	False	1.4692530989624284
9000	56	2	8	16	True	Липецк,  ул. Свиридова, 8 	52.57901175	39.50515657827046	Липецк,  ул. Свиридова, 8 , р-н Октябрьский	False	7.11370240492388
13000	62	2	3	9	True	Липецк,  ул Гоголя, 21 	52.60030424999999	39.569288449999995	Липецк,  ул Гоголя, 21 , р-н Октябрьский	False	2.165062986020563
15000	49	2	5	9	False	Липецк,  Московская ул., 139 	52.59748235	39.51258825	Липецк,  Московская ул., 139 , р-н Советский	False	5.924390712307203
10000	45.8	1	20	22	False	Липецк,  ул. Бехтеева, 5 	52.6054141	39.507691	Липецк,  ул. Бехтеева, 5 , р-н Советский	False	6.13161203431909
8500	18.5	1	4	5	False	Липецк,  ул. Циолковского, 4/2 	52.616263149999995	39.54811170980631	Липецк,  ул. Циолковского, 4/2 , р-н Советский	False	3.4814245823256535
12000	52	2	7	10	True	Липецк,  ул. Стаханова, 39 	52.5863744	39.52280363390639	Липецк,  ул. Стаханова, 39 , р-н Октябрьский	False	5.6758847046547025
12000	41	1	14	17	False	Липецк,  ул. Свиридова 	52.5768107	39.5193964	Липецк,  ул. Свиридова , р-н Октябрьский	False	6.4090265909644115
9000	40	1	8	10	False	Липецк,  ул. Сергея Казьмина, 6 	52.59604046630435	39.55364041515763	Липецк,  ул. Сергея Казьмина, 6 , р-н Правобережный	False	3.3262857995316346
10000	38	1	7	13	True	Липецк,  ул. Свиридова, 10 	52.57836465	39.50594683185359	Липецк,  ул. Свиридова, 10 , р-н Октябрьский	False	7.100485428939907
12000	52	2	1	9	False	Липецк,  ул. Лутова, 12 	52.58963075	39.58373821204718	Липецк,  ул. Лутова, 12 , р-н Октябрьский	False	2.3437592900999054
12000	38	1	11	15	False	Липецк,  ул. Гагарина, 28 	52.61804225	39.605996097400705	Липецк,  ул. Гагарина, 28 , р-н Правобережный	False	1.1603428346550906
11000	68.5	1	4	12	False	Липецк,  ул. Леонтия Кривенкова, 35 	52.5913997	39.514808	Липецк,  ул. Леонтия Кривенкова, 35 , р-н Октябрьский	False	5.962303365733157
8000	41	1	4	10	True	Липецк,  ул. Катукова, 19 	52.5816297	39.5259593	Липецк,  ул. Катукова, 19 , р-н Октябрьский	False	5.744506221983606
10000	39	1	5	10	True	Липецк,  ул. Замятина 	52.6055486	39.5030432	Липецк,  ул. Замятина , р-н Советский	False	6.4450374540972675
12000	35	1	4	5	False	Липецк,  ул. Чапаева, 4 	52.6168427	39.6327832	Липецк,  ул. Чапаева, 4 , р-н Правобережный	False	2.5180658720745703
8000	43	2	3	5	False	Липецк,  ул. Валентины Терешковой, 38А 	52.61295385	39.56922945562077	Липецк,  ул. Валентины Терешковой, 38А , р-н Советский	False	2.0045768487822495
10000	35	1	4	10	False	Липецк,  ул. Сергея Казьмина, 5 	52.59604046630435	39.55364041515763	Липецк,  ул. Сергея Казьмина, 5 , р-н Правобережный	False	3.3262857995316346
12000	46	2	2	5	True	 Липецк, Советская улица, 77 	52.60376135	39.57671096788954	 Липецк, Советская улица, 77 , р-н Советский	False	1.5496900219429293
7000	44	2	1	5	False	Липецк,  ул. Космонавтов, 47/4 	52.6031742	39.54178725138114	Липецк,  ул. Космонавтов, 47/4 , р-н Советский	False	3.8614833248051172
8000	44	2	4	5	False	Липецк,  ул. Циолковского, 30/3 	52.609033999999994	39.567156686968644	Липецк,  ул. Циолковского, 30/3 , р-н Советский	False	2.0915009237389786
5000	16	1	3	5	True	Липецк,  ул. Циолковского, 5/2 	52.6103601	39.5681867	Липецк,  ул. Циолковского, 5/2 , р-н Советский	False	2.0288817043532172
8500	39	1	4	10	True	Липецк,  ул. Белана 	52.5862385	39.5074866	Липецк,  ул. Белана , р-н Октябрьский	False	6.62943143834611
20000	60	2	9	14	True	 Липецк, проспект Победы, 71 	52.5904713	39.5589218	 Липецк, проспект Победы, 71 , р-н Октябрьский	False	3.3445964299477615
15000	42.3	3	4	5	True	Липецк,  ул.Космонавтов д.9 	52.6092538	39.5483386	Липецк,  ул.Космонавтов д.9 , р-н Советский	False	3.3664858885920586
10000	50	1	4	15	True	 Липецк, улица М.И. Неделина, 15А 	52.59604046630435	39.55364041515763	 Липецк, улица М.И. Неделина, 15А , р-н Октябрьский	False	3.3262857995316346
50000	143	3	5	10	True	 Липецк, проспект Победы, 22 	52.5968179	39.56434571975868	 Липецк, проспект Победы, 22 , р-н Октябрьский	False	2.643697037773644
8000	38	1	4	8	True	Липецк,  ул. Хорошавина, 21 	52.58505915	39.50992117211728	Липецк,  ул. Хорошавина, 21 , р-н Октябрьский	False	6.529155539232425
15000	62	3	2	5	True	 Липецк, посёлок Матырский, Российская улица, 20 	52.59604046630435	39.55364041515763	 Липецк, посёлок Матырский, Российская улица, 20 , р-н Левобережный	False	3.3262857995316346
8000	48	2	1	5	True	Липецк,  ул. Филипченко 	52.6043597	39.5462539	Липецк,  ул. Филипченко , р-н Советский	False	3.5423508822490035
10000	46	2	3	5	False	Липецк,  ул. Циолковского, 33 	52.6113109	39.566973250000004	Липецк,  ул. Циолковского, 33 , р-н Советский	False	2.1220348658055816
15000	45	1	3	4	True	Липецк,  ул. Космонавтов 	52.6170902	39.5795058	Липецк,  ул. Космонавтов , р-н Советский	False	1.5565861252659845
9000	41	1	8	20	False	Липецк,  ул. Хренникова, 1 	52.59590325	39.49572775	Липецк,  ул. Хренникова, 1 , р-н Советский	False	7.078421200131009
20000	50	1	7	9	False	Липецк,  ул. Балмочных, 32 	52.62077	39.5869969	Липецк,  ул. Балмочных, 32 , р-н Правобережный	False	1.526190853480833
13000	31	1	3	14	True	Липецк,  ул. Водопьянова, 33 	52.595722699999996	39.53621234999999	Липецк,  ул. Водопьянова, 33 , р-н Октябрьский	False	4.434253421136778
25000	72	2	5	16	True	Липецк,  ул. Валентина Скороходова, 21 	52.5982674	39.595186	Липецк,  ул. Валентина Скороходова, 21 , р-н Советский	False	1.1890163926314485
8000	48	2	3	5	True	Липецк,  ул. Космонавтов, 13 	52.6155002	39.562652275348725	Липецк,  ул. Космонавтов, 13 , р-н Советский	False	2.509256173415733
10000	40	1	2	5	False	Липецк,  ул. Гагарина, 103к1 	52.6214759	39.5532858	Липецк,  ул. Гагарина, 103к1 , р-н Советский	False	3.342228723181583
15000	70	2	12	14	False	Липецк,  ул. Шерстобитова, 22 	52.58069985	39.505586199999996	Липецк,  ул. Шерстобитова, 22 , р-н Октябрьский	False	7.001935557523135
8000	37	1	4	7	True	Липецк,  ул. Хорошавина, 21 	52.58505915	39.50992117211728	Липецк,  ул. Хорошавина, 21 , р-н Октябрьский	False	6.529155539232425
9000	36	1	4	5	True	Липецк,  Горняцкая ул., 2 	52.618957300000005	39.610249172814825	Липецк,  Горняцкая ул., 2 , р-н Правобережный	False	1.3999535055395755
7000	38	1	5	10	True	Липецк,  ул. Хорошавина 	52.5849355	39.5129411	Липецк,  ул. Хорошавина , р-н Октябрьский	False	6.348334496264907
7500	37	1	1	10	True	Липецк,  Депутатская ул., 52 	52.59079075	39.5696154680965	Липецк,  Депутатская ул., 52 , р-н Октябрьский	False	2.779856404168779
8000	36	1	3	4	True	Липецк,  ул. Адмирала Макарова, 26 	52.58056395	39.622593	Липецк,  ул. Адмирала Макарова, 26 , р-н Левобережный	False	3.5568644774984755
15000	52	2	7	10	True	Липецк,  ул. Валентины Терешковой, 29А 	52.61310095	39.57484113518641	Липецк,  ул. Валентины Терешковой, 29А , р-н Советский	False	1.6416515817856434
7000	32	1	3	9	False	Липецк,  ул. Теперика, 7 	52.58063625	39.523388921917956	Липецк,  ул. Теперика, 7 , р-н Октябрьский	False	5.950841127196291
6000	33	1	6	9	True	 Липецк, посёлок Матырский, Моршанская улица, 6 	52.59604046630435	39.55364041515763	 Липецк, посёлок Матырский, Моршанская улица, 6 , р-н Левобережный	False	3.3262857995316346
8000	35	1	6	10	False	Липецк,  ул. Катукова, 4 	52.580507850000004	39.53325960129545	Липецк,  ул. Катукова, 4 , р-н Октябрьский	False	5.402175502940835
12000	68.1	2	9	10	False	Липецк,  ул. Тельмана, 90 	52.621277750000004	39.58943593286698	Липецк,  ул. Тельмана, 90 , р-н Правобережный	False	1.504403025237453
5000	50	2	3	5	False	Липецк,  посёлок Матырский, Российская ул., 19 	52.59604046630435	39.55364041515763	Липецк,  посёлок Матырский, Российская ул., 19 , р-н Левобережный	False	3.3262857995316346
7000	25	1	2	5	True	 Липецк, улица Валентины Терешковой 	52.6061522	39.5734019	 Липецк, улица Валентины Терешковой , р-н Советский	False	1.6943816310401092
20000	80	3	9	9	False	Липецк,  ул. Калинина, 1Б 	52.5997991	39.5969472	Липецк,  ул. Калинина, 1Б , р-н Советский	True	1.0055409179930686
10000	45	2	4	5	True	Липецк,  ул. Космонавтов, 44/1 	52.6168982	39.56187885	Липецк,  ул. Космонавтов, 44/1 , р-н Советский	False	2.608791987791205
13000	61	2	11	22	True	Липецк,  ул. Хренникова, 8 	52.5935047	39.4913162	Липецк,  ул. Хренникова, 8 , р-н Советский	False	7.428161943886513
15000	48	2	1	4	False	Липецк,  Прокатная ул., 11А 	52.57728085	39.62164075	Липецк,  Прокатная ул., 11А , р-н Левобережный	False	3.8562987450403754
15000	41	1	2	14	True	Липецк,  пр-т Победы, 71 	52.59604046630435	39.55364041515763	Липецк,  пр-т Победы, 71 , р-н Октябрьский	False	3.3262857995316346
20000	62	2	7	10	True	Липецк,  Ангарская ул., 23А 	52.5925465	39.45517	Липецк,  Ангарская ул., 23А , р-н Советский	False	9.847165965054788
11000	37.7	1	10	14	False	Липецк,  ул. Стаханова, 61 	52.5732638	39.5127594	Липецк,  ул. Стаханова, 61 , р-н Октябрьский	False	7.0029110012710385
35000	85	2	3	15	True	Липецк,  Терешкова,25 а 	52.59604046630435	39.55364041515763	Липецк,  Терешкова,25 а , р-н Советский	False	3.3262857995316346
12000	64	3	4	5	True	 Липецк, улица Ибаррури, 4 	52.5394063	39.5655223	 Липецк, улица Ибаррури, 4 , р-н Октябрьский	False	8.031540420028579
10000	32	1	3	5	True	 Липецк, улица Плеханова, 47 	52.6147804	39.60240736980818	 Липецк, улица Плеханова, 47 , р-н Правобережный	False	0.7274426851645976
8500	30	1	3	5	False	Липецк,  Советский район, 9-й микрорайон, 23 	52.59604046630435	39.55364041515763	Липецк,  Советский район, 9-й микрорайон, 23 , р-н Советский	False	3.3262857995316346
20000	50	1	9	16	False	Липецк,  ул. Космонавтов, 3А 	52.61672455	39.580665518235364	Липецк,  ул. Космонавтов, 3А , р-н Советский	False	1.4692530989624284
6000	35	1	2	4	False	Липецк,  ул. Володи Бачурина, 10 	52.54185635	39.576074199999994	Липецк,  ул. Володи Бачурина, 10 , р-н Октябрьский	False	7.5978431333394765
10000	40	1	9	19	False	Липецк,  ул Замятина Е.И., 4б 	52.6055486	39.5030432	Липецк,  ул Замятина Е.И., 4б , р-н Советский	False	6.4450374540972675
8000	37	1	6	10	True	Липецк,  Депутатская ул., 51А 	52.5913703	39.57224422162514	Липецк,  Депутатская ул., 51А , р-н Октябрьский	False	2.6113187621029392
10000	44	1	8	19	False	Липецк,  ул. Хренникова, 5 	52.59463035	39.492284999999995	Липецк,  ул. Хренникова, 5 , р-н Советский	False	7.336236758821518
10000	43	1	12	13	False	Липецк,  ул. Свиридова, 6 	52.57966815	39.5036959063348	Липецк,  ул. Свиридова, 6 , р-н Октябрьский	False	7.168037467524915
19000	69	2	14	17	False	Липецк,  проспект победы 128 	52.5811009	39.5363679	Липецк,  проспект победы 128 , р-н Октябрьский	False	5.193008677652967
11000	39	1	6	10	False	Липецк,  ул. Леонтия Кривенкова, 35 	52.5913997	39.514808	Липецк,  ул. Леонтия Кривенкова, 35 , р-н Октябрьский	False	5.962303365733157
8000	30	1	2	5	True	Липецк,  Советская ул. 	52.6041634	39.5848	Липецк,  Советская ул. , р-н Советский	False	1.0347432771214962
9000	47	1	9	14	False	Липецк,  ул. Белана, 18 	52.5862385	39.5074866	Липецк,  ул. Белана, 18 , р-н Октябрьский	False	6.62943143834611
6000	28	1	2	5	False	Липецк,  ул. Вермишева, 18/1 	52.6047369	39.5370992	Липецк,  ул. Вермишева, 18/1 , р-н Советский	False	4.152544803722464
8000	36	1	5	9	True	Липецк,  пр-т имени 60-летия СССР, 35 	52.59604046630435	39.55364041515763	Липецк,  пр-т имени 60-летия СССР, 35 , р-н Октябрьский	False	3.3262857995316346
7000	34	1	2	5	True	Липецк,  ул. Циолковского, 10/1 	52.614954350000005	39.551279050000005	Липецк,  ул. Циолковского, 10/1 , р-н Советский	False	3.23967026850423
5000	36.6	1	2	10	False	Липецк,  ул. Яна Фабрициуса, 1 	52.6072426	39.53652421251833	Липецк,  ул. Яна Фабрициуса, 1 , р-н Советский	False	4.1702078491224075
16500	40	1	7	14	False	Липецк,  Полиграфическая ул., 8 	52.59964585	39.5202753803175	Липецк,  Полиграфическая ул., 8 , р-н Советский	False	5.365591406651658
8000	60	4	4	5	True	Липецк,  ул. М.И. Неделина, 45 	52.59604046630435	39.55364041515763	Липецк,  ул. М.И. Неделина, 45 , р-н Октябрьский	False	3.3262857995316346
6000	47	2	2	5	True	Липецк,  ул. Циолковского, 32/2 	52.6093401	39.568663341576595	Липецк,  ул. Циолковского, 32/2 , р-н Советский	False	1.9901530844969402
10000	40	1	8	19	False	Липецк,  ул. Замятина, 4Б 	52.6055486	39.5030432	Липецк,  ул. Замятина, 4Б , р-н Советский	False	6.4450374540972675
8000	19	1	5	5	True	Липецк,  ул. Валентины Терешковой, 32/2 	52.61326565	39.56663800540541	Липецк,  ул. Валентины Терешковой, 32/2 , р-н Советский	True	2.183396695784964
8000	42	2	1	2	True	Липецк,  ул. Семёна Кондарева, 15 	52.53942605	39.5725461	Липецк,  ул. Семёна Кондарева, 15 , р-н Октябрьский	False	7.911990925095899
22000	43	1	14	18	True	Липецк,  ул. Свиридова, 18 	52.5798288	39.5045115	Липецк,  ул. Свиридова, 18 , р-н Октябрьский	False	7.11065628564944
7000	32	1	2	5	False	Липецк,  15-й микрорайон, 2 	52.59734615	39.548790081825786	Липецк,  15-й микрорайон, 2 , р-н Октябрьский	False	3.5716370365717505
8000	41	1	6	12	False	Липецк,  ул. Замятина, 1А 	52.6044443	39.49969965	Липецк,  ул. Замятина, 1А , р-н Советский	False	6.67909720384105
8000	36	1	2	5	False	Липецк,  ул. Адмирала Макарова, 18А 	52.5827867	39.6220327	Липецк,  ул. Адмирала Макарова, 18А , р-н Левобережный	False	3.3215063243803065
7000	45	1	3	17	False	Липецк,  ул. Свиридова, 8 	52.57901175	39.50515657827046	Липецк,  ул. Свиридова, 8 , р-н Октябрьский	False	7.11370240492388
10000	45	2	3	5	False	Липецк,  ул. Желябова, 12 	52.6147558	39.600738250000006	Липецк,  ул. Желябова, 12 , р-н Правобережный	False	0.6864844097645878
15000	64	3	3	9	True	Липецк,  ул Московская д. 143 	52.59604046630435	39.55364041515763	Липецк,  ул Московская д. 143 , р-н Советский	False	3.3262857995316346
11000	80	2	6	17	True	 Липецк, улица Лутова, 18 	52.589055450000004	39.5846635589735	 Липецк, улица Лутова, 18 , р-н Октябрьский	False	2.3776261267107413
25000	40	1	1	14	True	 Липецк, улица Шевченко, 7 	52.61944945	39.602046543144525	 Липецк, улица Шевченко, 7 , р-н Правобережный	False	1.2146787330460214
25000	100	3	3	8	True	 Липецк, Угловая улица, 15 	52.6158489	39.60096350032445	 Липецк, Угловая улица, 15 , р-н Правобережный	False	0.8079710065926976
45000	80	2	14	16	True	 Липецк, улица Космонавтов, 3А 	52.61672455	39.580665518235364	 Липецк, улица Космонавтов, 3А , р-н Советский	False	1.4692530989624284
35000	47	1	17	19	False	Липецк,  ул. Осканова, 6 	52.59430475	39.488125450029564	Липецк,  ул. Осканова, 6 , р-н Советский	False	7.6193256737132184
9000	35.8	1	3	9	True	 Липецк, улица Петра Смородина, 20, подъезд 7 	52.59604046630435	39.55364041515763	 Липецк, улица Петра Смородина, 20, подъезд 7 , р-н Октябрьский	False	3.3262857995316346
12000	18	1	3	5	False	Липецк,  Волгоградская ул., 7А 	52.5405733	39.585912505949175	Липецк,  Волгоградская ул., 7А , р-н Октябрьский	False	7.637705689417417
9000	46	2	3	5	False	Липецк,  ул. Гагарина, 111к1 	52.6214759	39.5532858	Липецк,  ул. Гагарина, 111к1 , р-н Советский	False	3.342228723181583
10000	50	2	3	10	False	Липецк,  посёлок Матырский, Моршанская ул., 6А 	52.59604046630435	39.55364041515763	Липецк,  посёлок Матырский, Моршанская ул., 6А , р-н Левобережный	False	3.3262857995316346
11000	46	1	11	13	False	Липецк,  ул. Валентина Скороходова, 21 	52.5982674	39.595186	Липецк,  ул. Валентина Скороходова, 21 , р-н Советский	False	1.1890163926314485
13000	39	1	1	10	False	Липецк,  ул. Сергея Казьмина, 2 	52.59604046630435	39.55364041515763	Липецк,  ул. Сергея Казьмина, 2 , р-н Правобережный	False	3.3262857995316346
9000	38	1	4	10	True	Липецк,  ул. Космонавтов, 96 	52.6092538	39.5483386	Липецк,  ул. Космонавтов, 96 , р-н Советский	False	3.3664858885920586
8000	40	1	7	19	False	Липецк,  ул. Хренникова, 5 	52.59463035	39.492284999999995	Липецк,  ул. Хренникова, 5 , р-н Советский	False	7.336236758821518
10000	37	1	7	10	False	Липецк,  ул. Стаханова, 18Б 	52.59385655	39.52773325440164	Липецк,  ул. Стаханова, 18Б , р-н Октябрьский	False	5.045170211048334
10000	35	1	9	10	False	Липецк,  пл. Победы, 1 	52.6033826	39.5749071	Липецк,  пл. Победы, 1 , р-н Советский	False	1.678874954909875
10000	38	1	2	10	False	Липецк,  ул. Замятина, 4А 	52.6055486	39.5030432	Липецк,  ул. Замятина, 4А , р-н Советский	False	6.4450374540972675
11000	61	2	4	5	False	Липецк,  ул. Авиационная,31 	52.59604046630435	39.55364041515763	Липецк,  ул. Авиационная,31 , р-н Советский	False	3.3262857995316346
14000	30	1	2	5	True	Липецк,  посёлок Сырский, Детская ул., 17 	52.59604046630435	39.55364041515763	Липецк,  посёлок Сырский, Детская ул., 17 , р-н Советский	False	3.3262857995316346
6500	33	1	4	17	True	Липецк,  ул. 50 лет НЛМК, 33А 	52.591867	39.591605	Липецк,  ул. 50 лет НЛМК, 33А , р-н Октябрьский	False	1.9351249217460522
8000	42	1	1	17	False	Липецк,  Октябрьский округ, 15-й микрорайон 	52.5956433	39.54376125096255	Липецк,  Октябрьский округ, 15-й микрорайон , р-н Октябрьский	False	3.9580086103845074
17000	36	1	6	9	False	Липецк,  Полиграфическая ул., 10 	52.599282599999995	39.52124842445055	Липецк,  Полиграфическая ул., 10 , р-н Советский	False	5.308831588782298
7000	43	1	9	13	False	Липецк,  ул. Бехтеева, 10 	52.6062672	39.50969508032541	Липецк,  ул. Бехтеева, 10 , р-н Советский	False	5.990815578030668
12000	36	1	4	5	True	Липецк,  Опытная ул., 11Б 	52.6339128	39.54345357300389	Липецк,  Опытная ул., 11Б , р-н Правобережный	False	4.63280239491023
9000	31	1	2	3	True	Липецк,  посёлок Матырский, Моршанская ул., 1 	52.59604046630435	39.55364041515763	Липецк,  посёлок Матырский, Моршанская ул., 1 , р-н Левобережный	False	3.3262857995316346
6000	37.8	1	3	12	False	Липецк,  Советская ул., 28 	52.60468805	39.58396189093597	Липецк,  Советская ул., 28 , р-н Советский	False	1.0576830126443824
7000	31	1	3	5	True	Липецк,  ул. Германа Титова, 11 	52.6177483	39.55867626519337	Липецк,  ул. Германа Титова, 11 , р-н Советский	False	2.8450497101109944
10000	43.8	2	2	5	False	Липецк,  ул. Чапаева, 4 	52.6168427	39.6327832	Липецк,  ул. Чапаева, 4 , р-н Правобережный	False	2.5180658720745703
10000	62	3	3	5	False	Липецк,  посёлок Матырский, ул. Энергостроителей, 20 	52.59604046630435	39.55364041515763	Липецк,  посёлок Матырский, ул. Энергостроителей, 20 , р-н Левобережный	False	3.3262857995316346
9000	26	1	9	9	False	Липецк,  ул. М.И. Неделина, 14 	52.59604046630435	39.55364041515763	Липецк,  ул. М.И. Неделина, 14 , р-н Советский	True	3.3262857995316346
13000	65	2	4	4	True	 Липецк, проспект имени 60-летия СССР, 9А 	52.5844614	39.5382675	 Липецк, проспект имени 60-летия СССР, 9А , р-н Октябрьский	True	4.872428910115066
10000	37	1	1	5	False	Липецк,  посёлок Матырский, ул. Энергостроителей, 4 	52.59604046630435	39.55364041515763	Липецк,  посёлок Матырский, ул. Энергостроителей, 4 , р-н Левобережный	False	3.3262857995316346
30000	50	2	1	2	True	Липецк,  Интернациональная ул., 46 	52.61506305	39.60888315	Липецк,  Интернациональная ул., 46 , р-н Правобережный	False	1.012206297299144
11000	42	2	3	5	False	Липецк,  посёлок Сырский, Рудный пер., 4 	52.59604046630435	39.55364041515763	Липецк,  посёлок Сырский, Рудный пер., 4 , р-н Советский	False	3.3262857995316346
7500	18	1	5	5	False	Липецк,  ул. Циолковского, 7/2 	52.6171026	39.552273507635036	Липецк,  ул. Циолковского, 7/2 , р-н Советский	True	3.2337091368966573
9000	46	2	4	5	False	Липецк,  ул. Германа Титова, 7/5 	52.620349000000004	39.560007553483445	Липецк,  ул. Германа Титова, 7/5 , р-н Советский	False	2.877618041492167
6500	46	2	2	3	False	Липецк,  посёлок Сырский, Ново-Весовая ул., 22 	52.59604046630435	39.55364041515763	Липецк,  посёлок Сырский, Ново-Весовая ул., 22 , р-н Советский	False	3.3262857995316346
12000	37	1	4	10	False	Липецк,  ул. Белана, 9 	52.5862385	39.5074866	Липецк,  ул. Белана, 9 , р-н Октябрьский	False	6.62943143834611
10000	36	1	9	10	False	Липецк,  посёлок Сырский, ул. Ударников, 8/1 	52.59604046630435	39.55364041515763	Липецк,  посёлок Сырский, ул. Ударников, 8/1 , р-н Советский	False	3.3262857995316346
9000	44	2	4	5	False	Липецк,  ул. М.И. Неделина, 11 	52.59604046630435	39.55364041515763	Липецк,  ул. М.И. Неделина, 11 , р-н Октябрьский	False	3.3262857995316346
6000	48	2	8	9	False	Липецк,  ул. Папина 	52.5906762	39.5481891	Липецк,  ул. Папина , р-н Октябрьский	False	3.934010383201059
10000	45	1	7	9	True	Липецк,  пр-т Победы, 71 	52.59604046630435	39.55364041515763	Липецк,  пр-т Победы, 71 , р-н Октябрьский	False	3.3262857995316346
8000	81	3	4	4	False	Липецк,  ул. Гагарина, 6 	52.618329450000004	39.613968203670794	Липецк,  ул. Гагарина, 6 , р-н Правобережный	True	1.5124437998334992
13000	50	1	10	24	False	Липецк,  ул. Артёмова, 1А 	52.596026	39.4857596	Липецк,  ул. Артёмова, 1А , р-н Советский	False	7.7384155188699575
30000	24	2	4	5	True	 Липецк, улица Космонавтов, 24 	52.61740125	39.571873499586815	 Липецк, улица Космонавтов, 24 , р-н Советский	False	2.0130769359706764
